sex,age,migration_background,gender,origin,similarity,political_solidarity,threat
f,27,no,m,Ukraine,4,5.666666666666667,1
f,27,yes,f,Ukraine,7,5.333333333333333,1
m,27,no,m,Ukraine,4,6,1
m,27,no,m,Afghanistan,1,3,3.6666666666666665
f,27,no,m,Afghanistan,2,2,3
f,27,no,f,Afghanistan,3,5.666666666666667,1.6666666666666667
m,27,no,f,Afghanistan,1,1,3.6666666666666665
NA,27,yes,f,Ukraine,6,5.666666666666667,1
f,27,no,f,Afghanistan,4,3,3
f,27,no,m,Afghanistan,4,4.333333333333333,2.3333333333333335
NA,27,yes,m,Afghanistan,3,4.666666666666667,2.6666666666666665
m,27,yes,f,Afghanistan,3,4.666666666666667,1.6666666666666667
m,27,no,m,Ukraine,1,1,3.6666666666666665
m,27,no,m,Ukraine,4,4.666666666666667,1
m,27,no,f,Ukraine,2,5.333333333333333,1
m,27,no,f,Afghanistan,4,4.333333333333333,2
m,27,no,m,Afghanistan,5,6,2
f,27,no,f,Ukraine,5,7,1
f,27,no,m,Afghanistan,4,5,1.3333333333333333
m,27,no,f,Ukraine,1,2.3333333333333335,1
m,27,no,f,Ukraine,1,4.666666666666667,1
m,27,no,m,Afghanistan,5,4,1
m,27,no,f,Afghanistan,3,3.3333333333333335,2
m,27,no,f,Afghanistan,1,4.666666666666667,1.6666666666666667
f,27,yes,m,Ukraine,4,6.333333333333333,1
f,27,no,m,Ukraine,5,5.333333333333333,1.6666666666666667
m,27,no,m,Ukraine,4,5.333333333333333,1.3333333333333333
m,27,yes,m,Afghanistan,3,6.333333333333333,1.3333333333333333
m,27,yes,f,Afghanistan,2,2.6666666666666665,1.6666666666666667
f,27,no,f,Afghanistan,4,5.666666666666667,1.6666666666666667
m,27,no,f,Ukraine,5,6.333333333333333,1
f,27,no,f,Afghanistan,4,6,1
m,27,no,f,Ukraine,4,6,1.6666666666666667
f,27,no,m,Afghanistan,3,5,3
m,27,yes,m,Afghanistan,4,5.333333333333333,1.3333333333333333
m,27,no,f,Ukraine,5,5.666666666666667,2
f,27,yes,f,Afghanistan,3,4.666666666666667,1
m,27,no,m,Afghanistan,5,4.333333333333333,1
m,27,yes,f,Afghanistan,4,4.333333333333333,1.3333333333333333
f,27,yes,m,Ukraine,4,6.666666666666667,1
m,28,yes,m,Afghanistan,1,1.6666666666666667,3.3333333333333335
f,28,yes,f,Afghanistan,5,5,1
f,28,no,m,Ukraine,4,4.666666666666667,1.6666666666666667
f,28,no,f,Ukraine,5,5.666666666666667,1
NA,28,yes,m,Afghanistan,7,6.666666666666667,1
f,28,yes,f,Ukraine,5,6,1
f,28,no,f,Afghanistan,5,7,1
f,28,no,f,Ukraine,4,4.333333333333333,1
f,28,no,f,Ukraine,5,4.666666666666667,1
m,28,no,f,Afghanistan,1,4,2
f,28,no,f,Ukraine,3,6.333333333333333,1.3333333333333333
m,28,no,f,Ukraine,2,6,1
m,28,no,m,Afghanistan,2,1.3333333333333333,5
m,28,no,m,Afghanistan,3,4,2.3333333333333335
f,28,yes,m,Afghanistan,4,4.333333333333333,3.3333333333333335
m,28,no,m,Afghanistan,4,4.333333333333333,1.6666666666666667
m,28,no,f,Ukraine,1,7,1
f,28,yes,m,Afghanistan,4,4.666666666666667,1.3333333333333333
f,28,no,f,Afghanistan,6,7,1
m,28,yes,m,Ukraine,4,4.666666666666667,2
f,28,no,f,Ukraine,3,3,1
f,28,yes,f,Afghanistan,3,6.333333333333333,1
m,28,yes,f,Afghanistan,2,4.333333333333333,3.3333333333333335
m,28,no,f,Afghanistan,2,4,1.3333333333333333
f,28,no,m,Ukraine,2,2,1
m,28,no,f,Ukraine,4,5,1
f,28,yes,f,Afghanistan,5,4.333333333333333,1
f,28,no,f,Afghanistan,5,4,1
m,28,no,m,Afghanistan,5,4.666666666666667,1.6666666666666667
m,28,no,f,Ukraine,4,4.666666666666667,1
f,28,no,f,Afghanistan,5,7,1
f,28,no,f,Afghanistan,2,4,1
f,28,no,m,Afghanistan,5,4.333333333333333,1
f,28,no,m,Ukraine,5,6,1
f,28,yes,f,Ukraine,3,5,1.3333333333333333
m,28,yes,m,Ukraine,5,2.3333333333333335,1
m,28,no,f,Afghanistan,2,5,1.3333333333333333
m,28,no,m,Ukraine,4,4.333333333333333,1
m,28,yes,m,Afghanistan,1,3.6666666666666665,3.3333333333333335
m,28,no,f,Afghanistan,3,4,2
m,29,yes,f,Afghanistan,2,3.3333333333333335,1
m,29,no,f,Afghanistan,2,4.666666666666667,1
f,29,yes,f,Afghanistan,4,5.666666666666667,1.3333333333333333
f,29,no,f,Ukraine,5,6,1
NA,29,no,m,Ukraine,5,4.666666666666667,2.3333333333333335
m,29,no,f,Ukraine,4,5.666666666666667,4.333333333333333
f,29,no,m,Ukraine,3,5.333333333333333,1.3333333333333333
f,29,no,m,Ukraine,3,5.666666666666667,1.6666666666666667
m,29,no,f,Ukraine,4,3.6666666666666665,1
f,29,no,f,Ukraine,5,6.666666666666667,1
m,29,no,m,Afghanistan,3,4,1.3333333333333333
f,29,yes,m,Afghanistan,2,3,2.3333333333333335
f,29,no,m,Afghanistan,2,3.3333333333333335,2.3333333333333335
m,29,no,f,Ukraine,5,5.333333333333333,1
f,29,yes,f,Afghanistan,4,3.3333333333333335,1
m,29,yes,f,Afghanistan,2,1.3333333333333333,4
f,29,no,m,Ukraine,4,6,1
m,29,no,f,Afghanistan,3,4.333333333333333,2
f,29,no,f,Afghanistan,5,5.666666666666667,1.6666666666666667
m,29,no,f,Ukraine,4,5,1
f,29,yes,m,Afghanistan,5,2.6666666666666665,3
NA,29,no,f,Afghanistan,5,6,1
f,29,no,m,Ukraine,1,3,1
f,29,no,m,Ukraine,5,6.333333333333333,1
NA,29,yes,f,Afghanistan,2,2.3333333333333335,3
f,29,no,m,Afghanistan,5,6.333333333333333,1.3333333333333333
f,29,no,m,Ukraine,3,5.333333333333333,1
m,29,yes,m,Ukraine,5,3.3333333333333335,2
m,29,no,f,Afghanistan,2,4,2
f,29,no,m,Ukraine,4,5,1
m,29,no,m,Afghanistan,2,4,2.6666666666666665
m,29,no,m,Afghanistan,2,2.3333333333333335,2
m,29,no,f,Afghanistan,5,6,1
f,29,no,f,Ukraine,3,2,1.3333333333333333
m,29,no,m,Afghanistan,4,1,4.666666666666667
f,29,no,m,Afghanistan,1,4,2
m,29,no,f,Afghanistan,4,5,2
m,29,yes,f,Ukraine,5,4.333333333333333,1.3333333333333333
f,29,yes,f,Afghanistan,4,4.666666666666667,1
f,30,yes,f,Ukraine,4,6,2
m,30,yes,f,Afghanistan,2,3.6666666666666665,3
f,30,no,m,Ukraine,3,5.666666666666667,1
m,30,yes,m,Afghanistan,5,4,2
m,30,no,f,Afghanistan,2,4.333333333333333,1.6666666666666667
m,30,no,f,Afghanistan,2,2.3333333333333335,2.3333333333333335
m,30,no,m,Ukraine,6,6.333333333333333,1
m,30,no,f,Afghanistan,5,5.333333333333333,1.3333333333333333
f,30,yes,m,Ukraine,1,3.3333333333333335,3
f,30,no,f,Ukraine,4,6,1
m,30,no,f,Afghanistan,5,6,1
m,30,no,m,Ukraine,5,4.666666666666667,2
f,30,no,m,Ukraine,2,2,2.6666666666666665
m,30,yes,m,Ukraine,4,4,2
m,30,no,f,Afghanistan,3,4.666666666666667,1
f,30,yes,m,Ukraine,4,6,1
m,30,no,m,Afghanistan,3,2.3333333333333335,3
m,30,no,f,Ukraine,5,6.333333333333333,1
f,30,no,m,Afghanistan,4,4.666666666666667,2
m,30,no,m,Afghanistan,4,2.6666666666666665,1.3333333333333333
m,30,no,f,Ukraine,3,5.333333333333333,2.3333333333333335
f,30,no,f,Ukraine,4,5,1
f,30,no,f,Afghanistan,4,5,1
f,30,no,f,Afghanistan,5,4.666666666666667,1
f,30,no,m,Ukraine,2,4.666666666666667,1.6666666666666667
m,30,no,m,Ukraine,5,4.666666666666667,2.3333333333333335
f,30,no,f,Afghanistan,5,4,1
m,30,no,f,Afghanistan,3,4,2.6666666666666665
f,30,no,m,Ukraine,3,4,1
m,31,no,f,Afghanistan,3,4.333333333333333,2
m,31,no,f,Ukraine,1,1.3333333333333333,2.3333333333333335
m,31,yes,f,Ukraine,6,6,1
f,31,no,f,Afghanistan,5,4,2
m,31,yes,f,Afghanistan,2,4,1.6666666666666667
m,31,no,m,Afghanistan,3,2.6666666666666665,3.6666666666666665
m,31,no,m,Ukraine,3,3.6666666666666665,2
m,31,yes,f,Ukraine,5,4,1
m,31,no,f,Afghanistan,3,4,1
m,31,no,f,Ukraine,4,5,1.6666666666666667
m,31,no,m,Ukraine,3,2,3.6666666666666665
f,31,no,m,Ukraine,2,6,1
m,31,no,f,Ukraine,4,5.333333333333333,2
f,31,no,m,Ukraine,5,7,1
f,31,yes,m,Afghanistan,3,2.6666666666666665,3
m,31,no,m,Afghanistan,7,5.333333333333333,1.6666666666666667
m,31,no,f,Ukraine,5,6,1
m,31,no,m,Afghanistan,3,4.333333333333333,2.6666666666666665
m,31,yes,m,Ukraine,5,5.666666666666667,1
m,31,no,f,Afghanistan,3,6,1
f,31,no,m,Ukraine,3,6,1
f,31,no,f,Afghanistan,5,3.6666666666666665,2
m,31,no,f,Ukraine,5,5.333333333333333,1.3333333333333333
f,31,no,f,Ukraine,6,5,1
f,31,no,m,Ukraine,4,5,1
m,31,no,m,Ukraine,5,4.666666666666667,1.3333333333333333
m,31,no,m,Afghanistan,5,4.666666666666667,1.6666666666666667
NA,31,no,f,Afghanistan,5,4.333333333333333,1
f,31,yes,f,Afghanistan,2,5,2.6666666666666665
m,32,no,f,Ukraine,4,5,1
m,32,yes,f,Ukraine,6,6.666666666666667,2
f,32,yes,m,Afghanistan,5,4,3
m,32,no,m,Afghanistan,2,3.3333333333333335,3
f,32,yes,f,Afghanistan,4,5,1
m,32,no,m,Afghanistan,1,1,5
m,32,yes,f,Afghanistan,5,5,2.3333333333333335
m,32,yes,f,Ukraine,5,4.666666666666667,2
f,32,no,m,Afghanistan,5,5.333333333333333,1
m,32,yes,f,Ukraine,5,6.333333333333333,1
f,32,no,f,Afghanistan,1,4,3.6666666666666665
m,32,no,f,Ukraine,3,6,2
m,32,no,m,Afghanistan,3,3.3333333333333335,3
f,32,no,m,Afghanistan,3,5.666666666666667,1
m,32,yes,f,Ukraine,5,6.333333333333333,1
m,32,no,m,Afghanistan,4,4,3
f,32,no,m,Ukraine,4,5,1
m,32,yes,f,Ukraine,2,6.666666666666667,1
f,32,no,m,Ukraine,2,4,1
f,32,no,f,Afghanistan,6,7,1
m,32,yes,m,Afghanistan,1,4,1
m,32,no,m,Ukraine,1,2.6666666666666665,1
m,32,no,m,Afghanistan,2,3.6666666666666665,1.6666666666666667
m,32,yes,f,Afghanistan,2,4.333333333333333,1
m,32,yes,m,Afghanistan,3,3.6666666666666665,1.3333333333333333
f,32,no,f,Afghanistan,5,5,1
f,32,no,m,Ukraine,3,4.333333333333333,1.6666666666666667
f,32,no,m,Ukraine,3,4.333333333333333,1
m,32,no,f,Afghanistan,2,3.3333333333333335,2
f,32,no,m,Afghanistan,2,2,4.666666666666667
m,32,yes,f,Afghanistan,1,2.3333333333333335,1.3333333333333333
m,32,yes,m,Ukraine,5,5.666666666666667,1
f,32,no,m,Ukraine,1,5.333333333333333,1
m,32,yes,m,Ukraine,6,4.333333333333333,1.3333333333333333
m,32,no,f,Afghanistan,5,3.3333333333333335,1
m,32,yes,f,Afghanistan,1,1,4.333333333333333
f,32,yes,m,Ukraine,1,6.333333333333333,1
m,32,no,m,Afghanistan,3,3.6666666666666665,2
m,32,no,f,Afghanistan,1,3.3333333333333335,1.3333333333333333
m,32,no,f,Afghanistan,3,5.333333333333333,1
m,32,no,f,Ukraine,4,5,1
m,32,yes,f,Afghanistan,3,1,3.3333333333333335
f,32,no,f,Afghanistan,1,3.6666666666666665,1
f,32,no,f,Ukraine,5,6,1
f,32,no,f,Afghanistan,6,2.6666666666666665,1
f,33,no,m,Ukraine,5,4.333333333333333,1
f,33,no,m,Afghanistan,2,3,1.3333333333333333
f,33,no,m,Afghanistan,3,3,1.3333333333333333
m,33,no,f,Afghanistan,3,6,1.3333333333333333
f,33,no,f,Ukraine,5,6.333333333333333,1
f,33,no,m,Ukraine,1,5,1
m,33,yes,m,Ukraine,5,5,2
m,33,no,m,Ukraine,1,3,1
f,33,no,f,Afghanistan,5,6.666666666666667,1
m,33,yes,m,Ukraine,4,5.333333333333333,1
m,33,no,m,Ukraine,5,7,1
m,33,no,m,Afghanistan,5,5,2.3333333333333335
f,33,yes,f,Afghanistan,4,7,1
m,33,yes,m,Ukraine,5,5.666666666666667,2
m,33,no,m,Afghanistan,2,2.3333333333333335,2.3333333333333335
m,33,no,m,Afghanistan,1,5.666666666666667,1.6666666666666667
f,33,no,m,Ukraine,5,5.333333333333333,1
m,33,no,m,Ukraine,5,5.666666666666667,1
f,33,yes,f,Ukraine,4,3.6666666666666665,1.6666666666666667
m,33,no,f,Afghanistan,3,5.333333333333333,1.6666666666666667
f,33,no,f,Ukraine,5,6,1
f,33,no,f,Afghanistan,1,3.6666666666666665,1
m,33,no,m,Afghanistan,5,4.666666666666667,2
m,33,yes,m,Ukraine,7,7,1
f,33,yes,m,Ukraine,5,4.333333333333333,1.6666666666666667
f,34,no,f,Ukraine,6,7,1
f,34,no,f,Ukraine,5,7,1
f,34,no,m,Ukraine,5,5,1.6666666666666667
m,34,no,f,Ukraine,6,5,1
f,34,no,m,Afghanistan,1,3.3333333333333335,1.6666666666666667
m,34,yes,m,Ukraine,5,4.333333333333333,1.3333333333333333
m,34,no,f,Ukraine,5,6,2
m,34,no,m,Afghanistan,3,4.666666666666667,3
m,34,yes,f,Afghanistan,2,1,1
f,34,yes,m,Afghanistan,4,5.333333333333333,1.6666666666666667
m,34,yes,m,Afghanistan,1,3,2.6666666666666665
f,34,no,f,Ukraine,5,5,1
f,34,no,m,Afghanistan,3,5.333333333333333,1
f,34,no,f,Afghanistan,5,5.333333333333333,1
m,34,no,f,Ukraine,1,6.333333333333333,1
f,34,no,m,Ukraine,4,3,2
m,34,no,m,Afghanistan,3,2.3333333333333335,4.333333333333333
m,34,no,m,Ukraine,1,4.666666666666667,1.3333333333333333
m,34,yes,m,Ukraine,5,5,1
m,34,no,f,Ukraine,1,1.6666666666666667,1.3333333333333333
m,34,no,m,Afghanistan,1,1,4
m,34,no,m,Ukraine,4,4,1
f,34,yes,m,Afghanistan,3,1.6666666666666667,2.3333333333333335
m,34,no,f,Afghanistan,2,3,1
m,34,no,f,Ukraine,1,2.3333333333333335,1
f,34,yes,m,Ukraine,4,4,3
m,35,no,m,Afghanistan,6,2.6666666666666665,3
m,35,no,f,Afghanistan,2,3,1.3333333333333333
m,35,no,m,Afghanistan,5,3.6666666666666665,1.3333333333333333
f,35,no,f,Afghanistan,4,1.3333333333333333,1.6666666666666667
m,35,no,m,Afghanistan,4,4,2.3333333333333335
m,35,no,m,Ukraine,4,4.666666666666667,1.3333333333333333
m,35,no,m,Ukraine,5,4.666666666666667,1.3333333333333333
f,35,yes,m,Ukraine,2,4.333333333333333,1.6666666666666667
m,35,no,m,Ukraine,4,4.333333333333333,1.6666666666666667
m,35,no,m,Ukraine,5,5,2.3333333333333335
f,35,no,m,Afghanistan,1,4.666666666666667,2
f,35,no,m,Afghanistan,1,3.6666666666666665,2
m,35,no,m,Ukraine,6,5,1
m,35,no,f,Afghanistan,4,6.333333333333333,1
m,35,yes,f,Ukraine,4,6,1
m,35,yes,f,Ukraine,1,6.333333333333333,1
m,35,no,m,Afghanistan,5,4.666666666666667,2.6666666666666665
f,35,yes,f,Afghanistan,2,5,1
m,35,yes,f,Ukraine,4,4.333333333333333,1
m,35,no,f,Afghanistan,1,2.6666666666666665,1.6666666666666667
m,35,no,m,Afghanistan,3,1.6666666666666667,3.6666666666666665
m,35,no,m,Afghanistan,5,4.333333333333333,1.6666666666666667
m,35,no,f,Ukraine,5,3.3333333333333335,2
m,35,yes,f,Afghanistan,2,4.333333333333333,3
m,35,no,m,Afghanistan,4,4,2.3333333333333335
m,36,no,f,Ukraine,5,5,1
m,36,no,f,Ukraine,3,3,2.3333333333333335
f,36,no,f,Afghanistan,3,6.666666666666667,1
m,36,no,m,Afghanistan,2,1.3333333333333333,4.666666666666667
f,36,no,f,Ukraine,3,4,1
m,36,no,m,Ukraine,3,4.333333333333333,3.3333333333333335
m,36,no,m,Afghanistan,5,3.6666666666666665,3
m,36,no,f,Afghanistan,1,3.6666666666666665,2.3333333333333335
f,36,yes,f,Ukraine,5,7,1
m,36,no,m,Afghanistan,6,5.666666666666667,1
f,36,yes,m,Ukraine,5,3,1.6666666666666667
f,36,no,m,Ukraine,3,4.333333333333333,1
m,36,no,f,Ukraine,4,5,1
m,36,yes,f,Afghanistan,2,4,2
f,36,no,f,Ukraine,6,5.666666666666667,2
m,36,no,f,Ukraine,2,4.666666666666667,2
m,36,no,f,Afghanistan,2,3.3333333333333335,2.6666666666666665
f,36,no,f,Ukraine,5,4.666666666666667,1
f,37,yes,m,Ukraine,4,4.666666666666667,1
f,37,no,m,Ukraine,4,5,1.3333333333333333
m,37,no,m,Ukraine,3,4,1
m,37,no,f,Ukraine,3,4.333333333333333,2
m,37,no,f,Afghanistan,3,5,1
m,37,yes,f,Afghanistan,1,1,4.333333333333333
m,37,no,m,Afghanistan,5,6.333333333333333,1.3333333333333333
m,37,no,m,Ukraine,2,1.6666666666666667,1
m,37,yes,m,Ukraine,4,3,2.3333333333333335
m,37,yes,f,Ukraine,4,4.666666666666667,1
m,37,no,f,Ukraine,6,7,1.3333333333333333
m,37,yes,f,Ukraine,4,3,1
f,37,yes,m,Ukraine,1,2.3333333333333335,2.3333333333333335
f,37,no,f,Ukraine,4,6,1
m,37,no,m,Afghanistan,5,6.333333333333333,1.3333333333333333
m,37,no,m,Afghanistan,5,5.333333333333333,3
m,37,no,m,Afghanistan,3,2,3.6666666666666665
NA,37,no,m,Afghanistan,4,5,2.6666666666666665
m,37,no,f,Afghanistan,3,4.666666666666667,2.3333333333333335
m,37,no,f,Afghanistan,3,4,1
m,37,no,f,Afghanistan,5,5.333333333333333,1.3333333333333333
f,38,no,m,Ukraine,4,4.666666666666667,1
m,38,no,f,Ukraine,1,2,1.6666666666666667
m,38,no,f,Afghanistan,1,1.6666666666666667,2.3333333333333335
m,38,no,m,Ukraine,5,5,1.3333333333333333
f,38,no,f,Afghanistan,2,4.333333333333333,1.3333333333333333
m,38,no,f,Ukraine,4,3.6666666666666665,1
f,38,no,m,Ukraine,4,3.6666666666666665,2
f,38,no,m,Ukraine,5,4.666666666666667,1.3333333333333333
f,38,yes,m,Afghanistan,4,5.666666666666667,1.3333333333333333
m,38,no,f,Afghanistan,3,3.6666666666666665,3.3333333333333335
m,38,no,m,Afghanistan,6,4,1.3333333333333333
m,38,no,m,Ukraine,6,6,1
f,38,no,f,Ukraine,5,6,1
m,38,no,f,Ukraine,4,5,1.3333333333333333
f,38,no,m,Afghanistan,2,1.6666666666666667,3
f,38,no,m,Afghanistan,1,1.3333333333333333,3.3333333333333335
m,39,no,m,Afghanistan,3,3.3333333333333335,2
m,39,no,f,Ukraine,4,6.333333333333333,1
f,39,no,f,Ukraine,5,6.666666666666667,1
m,39,no,f,Ukraine,5,5,1
f,39,no,f,Ukraine,4,4.666666666666667,1
m,39,yes,m,Ukraine,5,4.333333333333333,1.3333333333333333
m,39,yes,f,Afghanistan,1,1.6666666666666667,4
f,39,no,f,Afghanistan,3,7,2.6666666666666665
m,39,no,m,Afghanistan,2,3.3333333333333335,2.6666666666666665
f,39,yes,m,Ukraine,4,3.3333333333333335,1
m,39,no,m,Ukraine,3,2.3333333333333335,2.3333333333333335
m,39,no,m,Afghanistan,5,4,1
f,39,no,f,Afghanistan,5,5,1
m,39,yes,m,Afghanistan,4,5,1
f,39,no,f,Ukraine,1,3.6666666666666665,1.3333333333333333
m,39,no,f,Ukraine,2,4.333333333333333,1
f,39,no,f,Afghanistan,5,7,1
m,40,no,m,Ukraine,4,3.6666666666666665,1
f,40,no,f,Afghanistan,3,5.666666666666667,1.6666666666666667
m,40,yes,f,Afghanistan,2,3.6666666666666665,2
m,40,no,m,Afghanistan,2,2.3333333333333335,4
f,40,no,f,Afghanistan,3,6.333333333333333,2.3333333333333335
f,40,no,m,Ukraine,1,2.3333333333333335,1.6666666666666667
f,40,no,m,Afghanistan,5,5,1.3333333333333333
m,40,yes,f,Ukraine,5,6,1
f,40,no,f,Ukraine,5,5,1
m,40,no,f,Afghanistan,2,2.3333333333333335,3.3333333333333335
f,40,yes,m,Ukraine,2,4,1
f,40,no,m,Ukraine,4,7,1.3333333333333333
f,41,no,f,Afghanistan,5,3.3333333333333335,1
m,41,no,f,Afghanistan,5,6,1
m,41,no,m,Afghanistan,4,4,1.3333333333333333
f,41,no,f,Ukraine,4,4,2
m,41,no,f,Ukraine,3,4,2.3333333333333335
m,41,no,m,Ukraine,5,4.666666666666667,1.3333333333333333
m,41,no,m,Afghanistan,4,1,1.3333333333333333
m,41,no,m,Afghanistan,4,2.6666666666666665,1.6666666666666667
f,41,no,m,Afghanistan,1,2.6666666666666665,3.6666666666666665
NA,41,no,f,Afghanistan,6,4.333333333333333,1
f,42,no,m,Afghanistan,2,5.333333333333333,1
m,42,no,m,Afghanistan,5,6.333333333333333,1
m,42,no,f,Ukraine,3,3.3333333333333335,1.3333333333333333
m,42,yes,f,Ukraine,5,5.333333333333333,1.3333333333333333
f,42,no,m,Afghanistan,1,4.333333333333333,3
f,42,no,m,Afghanistan,3,1,3.6666666666666665
m,43,yes,f,Afghanistan,1,3.3333333333333335,1
m,43,no,m,Ukraine,3,5.333333333333333,1
m,43,yes,f,Afghanistan,5,4.666666666666667,1
f,43,no,m,Ukraine,5,6.666666666666667,1
m,43,no,f,Afghanistan,5,5.666666666666667,1
f,43,no,f,Ukraine,3,3,1
m,43,yes,m,Ukraine,4,6.333333333333333,1
m,43,yes,m,Ukraine,5,4.666666666666667,3
f,44,no,f,Ukraine,5,5,1.3333333333333333
m,44,no,f,Afghanistan,3,6.333333333333333,4
m,44,yes,f,Ukraine,4,4.333333333333333,1
f,44,no,m,Afghanistan,3,6,1.6666666666666667
m,44,no,m,Afghanistan,3,4.333333333333333,2
m,44,no,m,Ukraine,5,5.666666666666667,1.3333333333333333
m,44,no,f,Afghanistan,1,4.666666666666667,1.3333333333333333
m,44,no,f,Afghanistan,1,1.3333333333333333,1.3333333333333333
m,45,no,f,Afghanistan,1,2,1.6666666666666667
f,45,no,m,Ukraine,6,4,1
m,45,yes,m,Afghanistan,3,3.3333333333333335,2.3333333333333335
m,45,no,f,Afghanistan,1,3,4
m,45,no,f,Ukraine,3,4,4
m,45,yes,f,Ukraine,2,3.6666666666666665,1.3333333333333333
f,46,no,f,Afghanistan,4,6.666666666666667,1
m,46,no,m,Ukraine,6,5.666666666666667,1
f,46,no,m,Afghanistan,3,1.6666666666666667,3.6666666666666665
m,46,no,m,Afghanistan,3,3.3333333333333335,1
m,46,no,m,Ukraine,4,4,1.6666666666666667
m,47,no,m,Afghanistan,3,4.666666666666667,1
m,47,no,f,Ukraine,5,5.666666666666667,1
m,47,yes,m,Ukraine,5,5,1
m,47,no,f,Ukraine,3,3.6666666666666665,2.3333333333333335
m,47,no,f,Afghanistan,5,6.333333333333333,1
m,48,yes,f,Ukraine,1,4,1
f,48,no,m,Afghanistan,4,2.3333333333333335,3
m,49,yes,m,Afghanistan,4,2.6666666666666665,5
m,49,no,f,Afghanistan,3,5.333333333333333,1
m,49,no,m,Ukraine,5,7,1
m,49,no,m,Afghanistan,3,3.6666666666666665,1.6666666666666667
f,49,no,m,Ukraine,3,5.666666666666667,1
f,50,no,m,Ukraine,4,6,1
f,50,no,m,Ukraine,4,5.333333333333333,2
f,51,no,f,Ukraine,2,3.3333333333333335,2
f,51,no,f,Ukraine,2,5,1.6666666666666667
m,51,no,f,Ukraine,3,5.333333333333333,1.3333333333333333
m,51,no,m,Ukraine,2,2.6666666666666665,4
f,51,yes,m,Afghanistan,3,3.6666666666666665,1
f,51,no,f,Ukraine,3,3,1.3333333333333333
f,51,no,m,Afghanistan,1,4.333333333333333,3
m,52,no,f,Afghanistan,3,3.6666666666666665,1
f,52,no,f,Afghanistan,4,6.666666666666667,1
m,52,no,m,Afghanistan,4,2,1.3333333333333333
f,52,no,f,Afghanistan,4,2,1
m,53,no,f,Ukraine,4,6,1
f,53,no,m,Ukraine,1,4,2.3333333333333335
f,54,yes,m,Afghanistan,5,5.666666666666667,1
f,54,no,m,Afghanistan,3,4.666666666666667,1.3333333333333333
f,54,no,f,Afghanistan,4,5,1
m,55,yes,f,Afghanistan,1,1,1.3333333333333333
m,55,no,f,Afghanistan,5,5.666666666666667,1
m,55,no,f,Ukraine,4,4.666666666666667,1
f,55,no,m,Afghanistan,2,2.6666666666666665,2
m,56,yes,m,Ukraine,6,7,1
f,56,no,f,Ukraine,3,7,1
f,56,no,m,Afghanistan,2,2.3333333333333335,1.6666666666666667
f,57,no,f,Ukraine,4,6.666666666666667,1
m,57,yes,m,Ukraine,3,3.3333333333333335,2.3333333333333335
f,57,no,f,Ukraine,4,6,1
m,57,no,m,Ukraine,7,6.666666666666667,1.3333333333333333
f,57,no,m,Ukraine,2,4.333333333333333,3.3333333333333335
m,57,no,m,Afghanistan,3,2.6666666666666665,1
f,57,no,m,Afghanistan,4,4,1.6666666666666667
m,57,no,f,Afghanistan,1,5.333333333333333,1
m,58,no,f,Afghanistan,5,5,1
m,59,no,f,Ukraine,5,5,1.3333333333333333
f,59,no,m,Ukraine,4,4,1
f,59,yes,f,Afghanistan,2,4,1.6666666666666667
f,59,no,m,Ukraine,4,4.666666666666667,2.3333333333333335
m,59,no,m,Afghanistan,4,3.6666666666666665,2.3333333333333335
f,59,yes,f,Ukraine,6,7,1
f,60,no,f,Ukraine,5,5,2
f,62,no,f,Afghanistan,4,6.666666666666667,1
m,62,no,f,Ukraine,5,5.666666666666667,1.6666666666666667
f,64,no,f,Ukraine,5,7,1
f,64,yes,f,Ukraine,2,6,1
f,65,no,m,Afghanistan,3,4,2
f,65,no,f,Ukraine,5,3.3333333333333335,1.3333333333333333
f,70,no,f,Afghanistan,4,4.666666666666667,1.6666666666666667
m,71,no,m,Afghanistan,4,4.333333333333333,1.6666666666666667
f,73,yes,f,Ukraine,7,6.333333333333333,1
